システム名	使用技術	業界
商品設計データベースシステム開発	Java、J2EE	アパレル
シフト管理システム開発	Java、J2EE、  携帯電話(3キャリア)	アミューズメント
オンラインB2B取引支援サイト開発	Java、J2EE	重機メーカ
ボイスメールシステム  開発	Java	コンサルティング
画像解析システム開発	Java, Swing	国立大学
経費処理システム開発	Java、J2EE	コンサルティング
SCMシステム構築	VB	アパレル
仕様データ管理システム開発	Java、J2EE	半導体メーカ
プラットフォーム設計サポート	Java、リッチクライアント	ユーティリティ
電子会議室	Java、J2EE	多業界
ハンディ端末アプリケーション開発	VB6、ハンディ	ユーティリティ
機器ソフトウェア改良	VB6、Direct3D	電子メーカ
機器ソフトウェア  フレームワーク開発	VB.net	電子メーカ
携帯アプリケーション開発	Java、J2ME、携帯電話	モバイル機器
進捗管理システム開発	Java、J2EE	アパレル
経済性分析シミュレータ開発	Excel	機器メンテナンス
装置データ管理システム開発	PHP、Access	機器メーカ
自動設計システム開発	Java、J2EE、CAD、C++	半導体メーカ
画像作成シミュレータ開発	Java、Java2D、Java3D、JavaWebStart、Swing、MacOSX～SnowLeopard	ファッション
Webシステムプログラミング・トレーニング	ASP.NET  Java	医薬メーカ  電気メーカ
組織管理システム開発	Java、J2EE	電気メーカ
プログラムマッチングシステム	Java、J2EE	スポーツ
生産管理システム開発	VB.net	電子メーカ
ソフトウエア開発支援システム開発	Excel, VBA	モバイル機器
ワークフローシステム開発	ASP	リサーチ
データ表示システム開発	Java	アミューズメント
ワークフローシステム開発	Java, J2EE、FormWave	電機メーカ
負荷シミュレータ開発	Excel, VBA	アパレル
出荷情報管理システム開発	VB.net、バーコード	アミューズメント
コード解析システム開発	Java	国立大学
成績処理システム開発	PHP	教育
プロジェクトモニタリングシステムのフレームワーク開発	C#	国立大学
コミュニティサイト開発	PHP	サービス
コミュニティサイト開発	PHP	教育
通販システム開発	Java	Webサービス
出荷データ変換ツール開発	VB.net	食品メーカ
スタッフ管理システム開発	Java、VB.net	スポーツ
顧客管理システム(CRM)開発	Java	サービス
分析システム開発	Java	Webサービス
工事管理システム構築マネジメントおよび開発	VB.net	建設
CMS(コンテンツマネジメントシステム)開発	Java	Webサービス
ライン稼動実績管理／分析システム開発	VB.net、各種ハードウェア	アミューズメント
カメラカウント	VB.net、カメラ	アミューズメント
通販システム開発	Grails、携帯電話	ファッション
サーバ構築		アミューズメント
カテゴリ整理		スポーツ
メール配信システム	RubyOnRails	ファッション
撮影アプリ（iPhone）	iPhone  Objective-C	ファッション
勤怠管理ツール	Excel、Access	サービス
商品ディスプレイアプリ（iPad）	iPad  Objective-C  3D	ファッション
経費予算管理SYS	IntraMart  Java	食品メーカ
試着アプリ（iPhone, iPad, Android）	iPhone  iPad  Android	ファッション
ドキュメント閲覧ツール	Windows  iPad  Android	電気メーカ
内部統制対応	VB.net	電子メーカ
リサイクル資材量計算システム	IntraMart  Java	食品メーカ
文献管理システム	C#	国立大学
商品マスタ統合管理システム	Java	ファッション
販促管理システム	IntraMart  Java	食品メーカ
検査結果登録ツール	Windowsタブレット  C#	製造業
請求伝票入力ツール	AccessからWebへリプレース	食品メーカ
営業活動効果分析ツール	Java	医薬メーカ
お申込みサイト構築		ネットワーク
ポイントシール照合＆カウントツール	C#	機器メーカ
携帯電話料金の明細データ通知ツール	Java	食品メーカ
勤怠管理システム	Java	サービス
人材管理システム	Java	サービス
コンシューマ向けサイトのバックエンド側の技術支援（設計）および開発	Java	Webサービス
製造機器の制御システム		アミューズメント
注文システムのテスト代行		飲食
トレーサビリティシステム		アミューズメント
製造設備の稼働管理ツール		製造業
請求データ変換システム	AccessからWebへリプレース	食品メーカ
取引連携システム	Java  DataSpider  Ext-JS	サービス
新工場のＩＴ面での技術支援および構築		アミューズメント
製造設備のスマホリモコンシステム		食品メーカ
測定機器内ソフトウェアの開発		機器メーカ
細胞情報管理システム		薬品メーカ
新サービスの企画における技術面でのリサーチおよび実現方法検討		アミューズメント
